"","LU_0","LU_3","LU_4","LU_5","LU_6","LU_9","LU_11","LU_12","LU_13","LU_15","LU_18","LU_21","LU_24","LU_25","LU_27","LU_30","LU_31","LU_32","LU_33","LU_34","LU_35","id"
"500",0,19.4231909853407,0,0,0,0,0,0,0,0,0,1631.06152285023,12834.9901944789,278.039175670594,0,0,0,0,44.9243596768207,0,0,"050509"
"501",0,203.719213598454,0,0,0,0,0,0,0,24.230525016554,485.747498153054,180.171370403226,3588.61651304807,86.5454268200683,0,0,0,0,1.92003437096727,0,0,"081203"
"502",0,7.99803691158008e-13,0,0,0,0,0,0,0,0,0,2104.19822262387,8138.10805427982,172.037749700248,0,0,0,0,103.999511848611,0,0,"160104"
"503",0,117.750049254293,0,0,329.497313964087,0,0,0,0,23.6882935520262,2104.22653225081,501.650360223073,2178.54820262035,1485.8886967806,0,0,0,0,367.344861727757,0,0,"160105"
"504",0,0,0,0,0,0,0,0,0,0,0,1340.29451982885,10698.7986444829,289.251177611101,0,0,0,0,431.352089855788,0,0,"160106"
"505",0,464.186018640175,0,0,0,0,0,0,0,0,2302.18087245193,69.9027847384568,7921.2333271287,119.873123302238,0,0,0,0,239.112102125426,0,0,"160107"
"506",0,43.139167734702,0,0,0,0,0,0,0,0,0,634.929147218237,2021.74403673677,139.166601695966,0,0,0,0,5.65378490545504,0,0,"160202"
"507",0,3.05103418208533,0,0,0.429241895028105,0,0,0,0,0,0,1290.82060523891,4155.65145876268,433.643483497459,0,0,0,0,0,0,0,"160205"
"508",0,218.111082534308,0,0,256.662572453296,0,392.651802760763,0,0,0,1513.02375979137,126.563728704583,18320.9776651481,799.486073015026,0,0,0,0,123.729865734464,0,0,"160206"
"509",0,4.41552153555832,0,0,5.37145218051302,0,70.7760027730448,0,0,0,156.216438541006,10.0407181754714,1898.81017037458,189.073075789669,0,0,0,0,9.90752212258819e-14,0,0,"160210"
"510",0,266.233584657709,0,0,0,0,0,0,0,0,0,2805.21222378165,3807.18971988266,1020.67368948139,0,0,0,0,133.038734784233,0,0,"160211"
"511",0,88.1155538774591,0,0,0.0679270461550914,0,3.6329131296676,0,0,2.13813321478665,0,4277.8711504024,51012.8743336972,3150.24450932952,0,0,0,0,764.133087683216,0,0,"160301"
"512",0,64.486704658947,0,0,49.5847914625001,0,295.714004161826,0,0,0,709.746287850335,5.08585170097649,2887.43831193894,155.714883471373,0,0,0,0,129.501874716558,0,0,"160302"
"513",0,65.088286133818,0,0,4.75676997915388,0,755.683495652104,0,0,0,300.09993349202,14.4463176876307,3880.51744714713,176.989545459859,0,0,0,0,159.258255644178,0,0,"160303"
"514",0,2.89498820155859,0,0,0,0,931.860293955925,0,0,0,120.197017157429,6.71038051386131,5134.89711972948,36.5610596393708,0,0,0,0,88.1796736669494,0,0,"160304"
"515",0,0,0,0,0,0,0,0,0,0,0,1353.22743981033,177324.016742944,3676.99028768093,0,0,0,0,511.733571690162,0,0,"160108"
"516",1.65404916122763e-13,50.8961735263001,0,0,82.7280857024016,0,0,0,0,0,784.177723148848,318.557523838943,6652.35753404608,167.093082886655,0,0,0,0,162.531276770904,0,0,"160801"
"517",0,8.22418449582251,0,0,0.576119534498844,0,0,0,0,0,107.468275312293,53.53640607741,0,663.374450400705,0,0,0,0,149.545217517661,0,0,"160110"
